Diâmetro [mm],Tempo [s]
120,14:34:42
123,14:34:43
126,14:34:44
90,14:34:44
129,14:34:45
126,14:34:46
126,14:34:46
126,14:34:47
123,14:34:48
123,14:34:48
126,14:34:49
123,14:34:50
123,14:34:50
123,14:34:51
123,14:34:52
123,14:34:52
123,14:34:53
126,14:34:53
123,14:34:54
123,14:34:55
123,14:34:55
126,14:34:56
123,14:34:57
126,14:34:57
126,14:34:58
126,14:34:59
126,14:34:59
126,14:35:00
123,14:35:01
123,14:35:01
123,14:35:02
129,14:35:03
132,14:35:03
129,14:35:04
129,14:35:05
126,14:35:05
90,14:35:06
90,14:35:07
132,14:35:07
126,14:35:08
126,14:35:08
132,14:35:09
126,14:35:10
132,14:35:10
120,14:35:11
129,14:35:12
129,14:35:12
126,14:35:13
132,14:35:14
132,14:35:14
123,14:35:15
135,14:35:16
135,14:35:16
138,14:35:17
129,14:35:18
135,14:35:18
123,14:35:19
129,14:35:20
129,14:35:20
126,14:35:21
120,14:35:22
132,14:35:22
123,14:35:23
135,14:35:23
120,14:35:24
120,14:35:25
105,14:35:25
132,14:35:26
129,14:35:27
129,14:35:27
129,14:35:28
132,14:35:29
129,14:35:29
132,14:35:30
126,14:35:31
126,14:35:31
126,14:35:32
129,14:35:33
129,14:35:33
126,14:35:34
126,14:35:35
132,14:35:35
126,14:35:36
132,14:35:37
129,14:35:37
126,14:35:38
126,14:35:39
81,14:35:39
81,14:35:40
81,14:35:41
69,14:35:41
81,14:35:42
90,14:35:43
69,14:35:43
123,14:35:44
69,14:35:44
123,14:35:45
126,14:35:46
126,14:35:46
126,14:35:47
126,14:35:48
126,14:35:48
126,14:35:49
90,14:35:50
90,14:35:50
78,14:35:51
84,14:35:52
81,14:35:52
90,14:35:53
90,14:35:54
78,14:35:54
69,14:35:55
69,14:35:56
69,14:35:56
69,14:35:57
81,14:35:58
81,14:35:58
117,14:35:59
129,14:36:00
117,14:36:00
126,14:36:01
126,14:36:02
123,14:36:03
129,14:36:03
129,14:36:04
126,14:36:05
129,14:36:05
129,14:36:06
129,14:36:06
126,14:36:07
126,14:36:08
126,14:36:09
117,14:36:09
114,14:36:10
84,14:36:11
84,14:36:11
84,14:36:12
84,14:36:13
114,14:36:14
114,14:36:14
114,14:36:15
114,14:36:16
84,14:36:17
84,14:36:18
84,14:36:18
81,14:36:19
114,14:36:20
84,14:36:20
114,14:36:21
129,14:36:22
84,14:36:23
84,14:36:24
69,14:36:24
126,14:36:25
129,14:36:26
126,14:36:26
126,14:36:27
129,14:36:28
129,14:36:28
123,14:36:29
129,14:36:30
129,14:36:30
129,14:36:31
114,14:36:32
126,14:36:33
114,14:36:33
114,14:36:34
69,14:36:34
87,14:36:35
87,14:36:36
84,14:36:37
87,14:36:37
84,14:36:38
84,14:36:39
84,14:36:39
84,14:36:40
84,14:36:41
81,14:36:41
81,14:36:42
81,14:36:43
81,14:36:43
117,14:36:44
117,14:36:45
117,14:36:45
117,14:36:46
78,14:36:47
72,14:36:47
114,14:36:48
114,14:36:49
117,14:36:50
81,14:36:50
81,14:36:51
114,14:36:52
114,14:36:52
114,14:36:53
114,14:36:54
114,14:36:54
114,14:36:55
111,14:36:56
84,14:36:56
114,14:36:57
114,14:36:58
114,14:36:58
114,14:36:59
114,14:37:00
84,14:37:00
114,14:37:01
69,14:37:02
69,14:37:03
69,14:37:03
114,14:37:04
111,14:37:05
111,14:37:05
114,14:37:06
114,14:37:07
114,14:37:07
114,14:37:08
114,14:37:09
114,14:37:09
114,14:37:10
114,14:37:11
105,14:37:11
69,14:37:12
114,14:37:13
84,14:37:14
84,14:37:14
69,14:37:15
72,14:37:16
72,14:37:16
114,14:37:17
114,14:37:18
81,14:37:18
81,14:37:19
81,14:37:19
114,14:37:20
114,14:37:21
114,14:37:22
114,14:37:22
114,14:37:23
114,14:37:24
108,14:37:24
117,14:37:25
117,14:37:26
114,14:37:26
114,14:37:27
114,14:37:28
114,14:37:28
114,14:37:29
114,14:37:30
114,14:37:30
114,14:37:31
114,14:37:32
81,14:37:32
114,14:37:33
114,14:37:34
114,14:37:34
114,14:37:35
114,14:37:36
114,14:37:36
114,14:37:37
114,14:37:38
114,14:37:38
114,14:37:39
114,14:37:40
114,14:37:40
114,14:37:41
84,14:37:42
84,14:37:42
84,14:37:43
84,14:37:44
87,14:37:44
87,14:37:45
114,14:37:46
69,14:37:46
114,14:37:47
114,14:37:48
114,14:37:48
114,14:37:49
84,14:37:50
84,14:37:50
84,14:37:51
114,14:37:52
126,14:37:52
126,14:37:53
126,14:37:54
87,14:37:54
114,14:37:55
87,14:37:56
84,14:37:56
84,14:37:57
114,14:37:58
114,14:37:58
114,14:37:59
114,14:38:00
111,14:38:00
126,14:38:01
126,14:38:02
111,14:38:02
126,14:38:03
114,14:38:04
126,14:38:04
126,14:38:05
126,14:38:06
126,14:38:06
123,14:38:07
126,14:38:08
108,14:38:08
126,14:38:09
